epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.3571,1.45181,2.26835,1.11239,0.54273,0.39996,0.40814,0.23052,1.3468,1.18679,1.05478,0.00332061,0.00332061,0.00332061
2,175.026,1.35327,1.30666,1.08141,0.643,0.49392,0.53751,0.29833,1.34505,1.06675,1.06379,0.00658807,0.00658807,0.00658807
3,263.054,1.35261,1.15993,1.0843,0.64922,0.55218,0.58177,0.32281,1.33358,0.98129,1.07298,0.00978953,0.00978953,0.00978953
4,349.666,1.32914,1.02175,1.07493,0.63581,0.60362,0.62543,0.35529,1.30851,0.92625,1.05894,0.009703,0.009703,0.009703
5,575.724,1.28367,0.91927,1.056,0.73639,0.58372,0.64343,0.36976,1.29909,0.87727,1.05184,0.009604,0.009604,0.009604
6,658.299,1.25345,0.84751,1.0445,0.73844,0.61748,0.67511,0.37956,1.27161,0.83793,1.03625,0.009505,0.009505,0.009505
7,745.211,1.22638,0.80321,1.03242,0.75563,0.62795,0.68719,0.39873,1.25859,0.81225,1.0275,0.009406,0.009406,0.009406
8,829.212,1.20484,0.76705,1.02075,0.75076,0.60918,0.68015,0.37976,1.32379,0.8229,1.06464,0.009307,0.009307,0.009307
9,1053.74,1.18603,0.74449,1.01236,0.80285,0.64355,0.71708,0.41209,1.2467,0.76542,1.02057,0.009208,0.009208,0.009208
10,1147.62,1.16619,0.71823,1.00585,0.81022,0.63638,0.71579,0.41956,1.25122,0.7696,1.02581,0.009109,0.009109,0.009109
11,1239.62,1.14705,0.69714,0.99806,0.79033,0.66695,0.72607,0.4193,1.23998,0.74772,1.02342,0.00901,0.00901,0.00901
12,1327.91,1.13249,0.68014,0.99168,0.78007,0.66953,0.72378,0.4253,1.26919,0.7551,1.03522,0.008911,0.008911,0.008911
13,1417.43,1.11686,0.66435,0.98411,0.80147,0.65469,0.73052,0.43819,1.23001,0.73092,1.0142,0.008812,0.008812,0.008812
14,1632.13,1.10112,0.6513,0.97935,0.79883,0.67119,0.73541,0.43869,1.23499,0.72994,1.0187,0.008713,0.008713,0.008713
15,1734,1.08946,0.63734,0.97341,0.82003,0.66581,0.73898,0.44052,1.22593,0.72546,1.01527,0.008614,0.008614,0.008614
16,1823.23,1.07221,0.62524,0.96818,0.82079,0.67307,0.75593,0.44649,1.22764,0.70192,1.01115,0.008515,0.008515,0.008515
17,1921.85,1.05932,0.61551,0.96298,0.83042,0.67096,0.75535,0.45507,1.22337,0.70495,1.00249,0.008416,0.008416,0.008416
18,2071.8,1.05433,0.60862,0.96018,0.82682,0.68045,0.75378,0.45304,1.21532,0.70114,1.00706,0.008317,0.008317,0.008317
19,2316.65,1.03788,0.59558,0.95368,0.81121,0.67386,0.75216,0.45187,1.2109,0.69681,1.00678,0.008218,0.008218,0.008218
20,2520.9,1.02518,0.58531,0.95003,0.84163,0.68181,0.76933,0.4567,1.21082,0.68901,1.00332,0.008119,0.008119,0.008119
21,2610.27,1.01398,0.57922,0.94563,0.81095,0.68133,0.75199,0.45124,1.22521,0.69958,1.00816,0.00802,0.00802,0.00802
22,2704.6,1.00244,0.57277,0.94239,0.81106,0.6786,0.7548,0.45469,1.21624,0.69145,1.00008,0.007921,0.007921,0.007921
23,2787.46,0.99482,0.56559,0.93938,0.82766,0.67247,0.75739,0.46071,1.21169,0.68432,1.0032,0.007822,0.007822,0.007822
24,3022.65,0.98811,0.55827,0.9362,0.78921,0.70468,0.7536,0.45317,1.22109,0.68986,1.00165,0.007723,0.007723,0.007723
