epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1051,1.04078,5.1151,1.32881,0,0,0,0,0.60239,inf,0.55696,1.248e-05,1.248e-05,1.248e-05
2,25.1079,0.78125,5.04942,1.20481,0,0,0,0,0.40844,inf,0.48764,2.56323e-05,2.56323e-05,2.56323e-05
3,37.0878,0.47099,4.93398,1.05878,0,0,0,0,0.2314,inf,0.43461,3.84021e-05,3.84021e-05,3.84021e-05
4,48.3944,0.29318,4.81467,0.98488,0,0,0,0,0.19968,inf,0.44942,5.07896e-05,5.07896e-05,5.07896e-05
5,60.0039,0.21979,4.70422,0.96082,0.01124,0.00011,0.00567,0.00567,0.21701,inf,0.48107,6.27946e-05,6.27946e-05,6.27946e-05
6,72.0983,0.19086,4.59209,0.95288,0.00824,0.01067,0.0106,0.0106,0.22557,inf,0.505,7.44172e-05,7.44172e-05,7.44172e-05
7,84.2395,0.1818,4.45556,0.9511,0.01918,0.01684,0.01895,0.01895,0.18226,inf,0.51944,8.56574e-05,8.56574e-05,8.56574e-05
8,96.9452,0.17857,4.27168,0.95081,0.05623,0.05958,0.05428,0.05428,0.16582,inf,0.51678,9.3704e-05,9.3704e-05,9.3704e-05
9,110.699,0.18448,4.04569,0.9589,0.06424,0.10721,0.07346,0.07341,0.15759,inf,0.50203,9.22331e-05,9.22331e-05,9.22331e-05
10,125.465,0.19176,3.78981,0.96516,0.0597,0.1999,0.09334,0.09258,0.14519,inf,0.49571,9.07623e-05,9.07623e-05,9.07623e-05
11,140.589,0.20207,3.4989,0.97588,0.04748,0.29072,0.09756,0.09159,0.23958,inf,0.62973,8.92914e-05,8.92914e-05,8.92914e-05
12,156.39,0.21045,3.16954,0.98784,0.65194,0.10001,0.13151,0.122,0.32566,3.15003,0.78764,8.78206e-05,8.78206e-05,8.78206e-05
13,172.211,0.2189,2.83058,0.99536,0.68637,0.14587,0.16201,0.15175,0.37712,3.09896,0.91702,8.63497e-05,8.63497e-05,8.63497e-05
14,187.661,0.21987,2.58821,0.99835,0.72199,0.18597,0.19029,0.17776,0.42293,2.87982,1.04781,8.48789e-05,8.48789e-05,8.48789e-05
15,203.353,0.21894,2.37741,0.99639,0.63272,0.23425,0.2261,0.21645,0.36717,2.23975,0.97437,8.3408e-05,8.3408e-05,8.3408e-05
16,219.418,0.21139,2.20908,0.99339,0.63418,0.26756,0.25927,0.24975,0.35403,1.98679,0.98498,8.19371e-05,8.19371e-05,8.19371e-05
17,235.125,0.2064,2.09609,0.98692,0.67134,0.26896,0.2635,0.25523,0.33517,1.91191,0.96157,8.04663e-05,8.04663e-05,8.04663e-05
18,251.025,0.19872,1.97111,0.98276,0.79506,0.27279,0.29328,0.28444,0.32912,1.68481,0.93027,7.89954e-05,7.89954e-05,7.89954e-05
19,266.978,0.19436,1.88329,0.97823,0.72579,0.30351,0.31153,0.30417,0.30191,1.56537,0.89252,7.75246e-05,7.75246e-05,7.75246e-05
20,282.842,0.18945,1.7895,0.97524,0.71726,0.31211,0.32796,0.32215,0.27441,1.50752,0.86103,7.60537e-05,7.60537e-05,7.60537e-05
21,298.422,0.18596,1.71581,0.96861,0.68232,0.32479,0.33827,0.33235,0.27445,1.49728,0.853,7.45829e-05,7.45829e-05,7.45829e-05
22,313.896,0.18067,1.63977,0.96591,0.70689,0.35991,0.38234,0.37772,0.23627,1.36498,0.8291,7.3112e-05,7.3112e-05,7.3112e-05
23,329.457,0.17723,1.56818,0.96173,0.74675,0.35743,0.3925,0.38851,0.23142,1.35143,0.84336,7.16411e-05,7.16411e-05,7.16411e-05
24,344.905,0.17388,1.52268,0.95882,0.74808,0.38912,0.43478,0.42549,0.28566,1.27509,0.93341,7.01703e-05,7.01703e-05,7.01703e-05
25,360.228,0.16944,1.4755,0.95675,0.72048,0.41038,0.44906,0.4414,0.25426,1.25876,0.90902,6.86994e-05,6.86994e-05,6.86994e-05
26,376.042,0.16718,1.41379,0.95439,0.71799,0.44313,0.48186,0.47297,0.26789,1.22868,0.91589,6.72286e-05,6.72286e-05,6.72286e-05
27,392.087,0.16533,1.39058,0.95215,0.73835,0.4548,0.50927,0.49872,0.27336,1.18581,0.93385,6.57577e-05,6.57577e-05,6.57577e-05
28,408.12,0.16315,1.33763,0.95079,0.73195,0.46972,0.52272,0.5134,0.25604,1.17334,0.91263,6.42869e-05,6.42869e-05,6.42869e-05
29,424.353,0.16258,1.28958,0.9506,0.72834,0.48299,0.54885,0.53475,0.29076,1.12289,0.93667,6.2816e-05,6.2816e-05,6.2816e-05
30,439.822,0.15686,1.274,0.9464,0.70798,0.52398,0.56758,0.55487,0.28026,1.15626,0.91937,6.13451e-05,6.13451e-05,6.13451e-05
31,455.386,0.15589,1.24551,0.94436,0.72581,0.51053,0.57341,0.56337,0.25236,1.09095,0.87799,5.98743e-05,5.98743e-05,5.98743e-05
32,471.053,0.15529,1.2302,0.94477,0.7302,0.53161,0.58913,0.57685,0.27113,1.05304,0.91933,5.84034e-05,5.84034e-05,5.84034e-05
33,486.612,0.15099,1.18822,0.94239,0.7155,0.55573,0.60101,0.58916,0.2607,1.00301,0.91975,5.69326e-05,5.69326e-05,5.69326e-05
34,502.727,0.14976,1.18313,0.94089,0.73566,0.55944,0.60557,0.59212,0.27039,0.99205,0.93527,5.54617e-05,5.54617e-05,5.54617e-05
35,518.708,0.14992,1.14862,0.94021,0.74026,0.58007,0.62264,0.60975,0.26087,0.95486,0.92593,5.39909e-05,5.39909e-05,5.39909e-05
